시도별(1),매립지수 (개소),총매립지면적 (m²),총매립용량 (㎥),기매립량 (㎥),잔여매립가능량 (㎥),매립량 (㎥),매립량 (톤),설치비 (백만원),매립지관리인원 (명)
합계,27,13496003,132065038,95983659,36081379,1871856,2344622,670014,194
인천,2,1937004,15586335,11705490,3880845,382924,363778,157038,7
대전,1,2597,14399,5524,8875,0,0,200,11
울산,2,48260,405196,373911,31285,0,0,3380,5
세종,1,1550,6828,0,6828,0,0,245,2
강원,2,377961,2692083,1344060,1348023,19650,49,17510,14
충북,1,5000,19291,6275,13016,-2465,-2465,500,2
충남,4,6988070,52739342,35934659,16804683,1520035,1398403,231260,45
전북,1,4995,35638,26831,8807,0,0,740,4
전남,5,998512,21698689,17078553,4620136,130633,157195,47645,33
경북,4,717784,10739374,7703715,3035659,60792,103343,73274,11
경남,4,2414270,28127863,21804641,6323222,-239713,324319,138222,60
